epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,943.045,0.54546,0.45922,0.96426,0.96647,0.84787,0.88842,0.78026,0.66785,0.5574,0.96803,0.00021459,0.00021459,0.00021459
165,948.709,0.522,0.43007,0.95357,0.95846,0.82621,0.89325,0.7824,0.66917,0.56946,0.96816,0.00020909,0.00020909,0.00020909
166,954.356,0.53932,0.45208,0.95876,0.95975,0.82972,0.89623,0.78577,0.65004,0.54015,0.95403,0.000203591,0.000203591,0.000203591
167,960.075,0.54172,0.45138,0.95951,0.95956,0.82784,0.89542,0.79395,0.66179,0.55647,0.96567,0.000198091,0.000198091,0.000198091
168,965.91,0.53475,0.43615,0.96173,0.96867,0.82854,0.89582,0.78468,0.64932,0.54367,0.95669,0.000192592,0.000192592,0.000192592
169,971.601,0.53165,0.42173,0.95454,0.97034,0.83251,0.89684,0.79087,0.64287,0.54496,0.94704,0.000187092,0.000187092,0.000187092
170,977.301,0.53336,0.44041,0.95325,0.95124,0.82477,0.88817,0.79068,0.6468,0.55573,0.94665,0.000181593,0.000181593,0.000181593
171,983.053,0.53045,0.44165,0.96111,0.94303,0.84054,0.90117,0.79449,0.63907,0.55444,0.94518,0.000176094,0.000176094,0.000176094
172,988.733,0.52286,0.44574,0.95726,0.92217,0.83892,0.89131,0.7953,0.61781,0.57519,0.93418,0.000170594,0.000170594,0.000170594
173,994.393,0.53722,0.4594,0.96293,0.92609,0.84442,0.89245,0.7946,0.62951,0.57664,0.93776,0.000165095,0.000165095,0.000165095
174,999.994,0.51899,0.42738,0.95338,0.97388,0.82895,0.8936,0.79831,0.62015,0.56971,0.93413,0.000159595,0.000159595,0.000159595
175,1005.75,0.51887,0.42328,0.94935,0.97695,0.84086,0.89377,0.79647,0.61979,0.56938,0.93323,0.000154096,0.000154096,0.000154096
176,1011.45,0.52849,0.42949,0.95857,0.96718,0.83917,0.89812,0.79537,0.6276,0.58044,0.93687,0.000148596,0.000148596,0.000148596
177,1017.13,0.5252,0.42237,0.95144,0.95067,0.84112,0.8964,0.7934,0.64083,0.56593,0.95403,0.000143097,0.000143097,0.000143097
178,1022.76,0.51136,0.4324,0.9566,0.94717,0.8327,0.89568,0.79213,0.64058,0.59233,0.95336,0.000137597,0.000137597,0.000137597
179,1028.48,0.50358,0.42261,0.94447,0.95383,0.85802,0.89457,0.79145,0.61887,0.56823,0.94212,0.000132098,0.000132098,0.000132098
